Nutrient Value of Some Common Foods - 2008 Edition,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,
Food name,Measure,Weight,Energy,Energy,Protein,Carbohydrate,Total Sugar,Total Dietary Fibre,Total Fat,Saturated Fat,Cholesterol,Calcium,Iron,Sodium,Potassium,Magnesium,Phosphorus,Thiamin,Riboflavin,Niacin,Folate 
,0,g,kcal,kJ,g,g,g,g,g,g,mg,mg,mg,mg,mg,mg,mg,mg,mg,NE,DFE
Biscuit,1,51,186,776,3,25,2,0.7,8,1.3,1,25,1.7,537,114,9,219,0.2,0.15,2.4,58
Biscuit baked,1,30,97,404,2,14,3,0.4,4,1,2,54,0.6,273,55,7,136,0.1,0.11,1.4,31
Biscuit homemade,1,60,212,888,4,27,1,0.9,10,2.6,2,141,1.7,348,73,11,98,0.2,0.19,2.6,57
Biscuit refrigerated dough baked,1,27,93,391,2,13,0,0.4,4,1,0,5,0.7,325,42,4,104,0.1,0.06,1.2,37
Croissant butter,1,57,231,968,5,26,6,1.5,12,6.6,38,21,1.2,424,67,9,60,0.2,0.14,2.2,74
Muffin blueberry from mix prepared,1,54,149,623,3,24,0,0,5,1.2,32,14,0.6,216,41,6,93,0.1,0.17,1.9,61
Muffin bran from mix prepared,1,55,159,666,4,27,0,0,5,1.4,32,18,1.5,271,84,33,189,0.1,0.13,2.9,38
Muffin bran homemade,1,57,199,833,4,32,13,3.7,8,0.9,23,82,2.3,242,363,80,129,0.1,0.16,3,37
Muffin carrot commercial,1,113,344,1439,7,49,17,1.9,14,1.6,34,100,2.2,396,208,18,117,0.3,0.31,4.1,90
Muffin chocolate chip commercial,1,113,366,1530,8,53,16,2.4,14,5.3,37,116,2.9,341,192,34,147,0.3,0.35,4.6,102
Muffin fruit commercial,1,113,313,1309,6,54,22,2.9,7,1.6,34,64,1.8,505,139,18,223,0.2,0.14,2.5,129
Muffin fruit homemade,1,57,162,679,4,23,0,0.9,6,1.2,21,108,1.3,251,70,9,83,0.2,0.16,2,42
Breakfast bar Oatmeal to GoTM,1,47,197,825,3,33,10,2.4,5,0.9,0,17,4.2,202,102,0,,0.7,0,1.7,
Cereal bar fruit filled Nutri-GrainTM,1,37,135,566,2,26,14,1.2,3,0.5,0,17,0.6,96,72,3,43,0.1,0.04,0.8,
Chocolate chip commercial,2,20,98,409,1,13,7,0.6,5,1.5,0,7,0.7,59,30,10,23,0,0.05,0.7,20
Chocolate chip homemade,2,32,156,653,2,19,0,0.9,9,2.6,10,12,0.8,116,72,18,32,0.1,0.06,0.8,15
Chocolate chip refrigerated dough baked,2,24,118,494,1,16,0,0.4,5,1.9,6,7,0.6,56,48,6,18,0,0.05,0.7,17
Chocolate coated marshmallow,2,30,129,541,1,21,14,0.6,4,2.2,0,6,0.9,46,43,11,29,0,0.06,0.4,11
Chocolate sandwich,2,20,93,390,1,14,8,0.6,4,1.8,0,4,2.1,97,37,10,18,0,0.03,0.8,17
Coconut macaroons homemade,2,48,194,811,2,35,34,0.9,6,5.4,0,3,0.4,119,75,10,21,0,0.05,0.4,2
Fig,2,32,111,466,1,23,15,1.5,2,0.4,0,20,0.9,112,66,9,20,0.1,0.07,0.8,17
Ginger snaps,2,14,58,244,1,11,3,0.3,1,0.3,0,11,0.9,92,48,7,12,0,0.04,0.6,20
Graham crackers plain or honey,2,14,59,248,1,11,4,0.4,1,0.2,0,3,0.5,85,19,4,15,0,0.04,0.8,9
Granola bar hard chocolate chip,1,24,105,440,2,17,0,1.1,4,2.7,0,18,0.7,83,60,17,49,0,0.02,0.7,3
Granola bar hard plain,1,25,118,493,3,16,0,1.3,5,0.6,0,15,0.7,74,84,24,69,0.1,0.03,1.1,6
Granola bar soft chocolate chip graham and marshmallow,1,26,109,454,1,20,6,1,3,0.6,0,6,0.6,90,48,18,53,0,0.04,0.5,3
Granola bar soft nuts and raisins,1,28,127,532,2,18,0,1.6,6,2.7,0,24,0.6,71,110,25,67,0.1,0.05,1.2,8
Granola bar soft peanut butter chocolate coated,1,37,188,788,4,20,0,1,12,6.3,4,40,0.5,71,125,25,84,0,0.08,2,9
Granola bar soft plain,1,28,124,519,2,19,0,1.3,5,2,0,29,0.7,78,91,21,64,0.1,0.05,0.6,7
Molasses,2,30,129,539,2,22,5,0.3,4,1,0,22,1.9,138,104,16,29,0.1,0.08,1.3,44
